2026-04-02 18:58:01 | INFO | src.feature_engineer:__init__:29 | Feature engineer initialized
2026-04-02 18:58:01 | INFO | src.ai_models:__init__:52 | AI model manager initialized - model type: ensemble
2026-04-02 18:58:01 | INFO | src.risk_manager:__init__:45 | Risk manager initialized - max daily loss: $30
2026-04-02 18:58:01 | INFO | src.backtester:__init__:84 | Backtester initialized - initial capital: $10000
2026-04-02 18:58:01 | INFO | src.trader:__init__:81 | Trading engine initialized
2026-04-02 18:58:01 | INFO | __main__:__init__:96 | Trading system initialization complete
2026-04-02 18:58:22 | INFO | src.broker_interface:add_broker:807 | Broker added: Test
2026-04-02 18:58:27 | INFO | src.broker_interface:connect:595 | Exness connection established through MetaTrader5
2026-04-02 18:58:27 | INFO | src.broker_interface:connect_broker:824 | 已切换到券商: Test
2026-04-02 18:59:48 | INFO | __main__:collect_and_prepare_data:100 | Starting data collection and preparation...
2026-04-02 18:59:49 | WARNING | src.data_collector:get_historical_data:65 | No historical data fetched for GC=F
2026-04-02 18:59:49 | ERROR | __main__:collect_and_prepare_data:109 | Failed to fetch historical data
2026-04-02 19:17:30 | INFO | src.broker_interface:disconnect:608 | Exness connection closed
2026-04-02 19:17:30 | INFO | src.broker_interface:disconnect_all:841 | 所有券商连接已断开
2026-04-02 19:17:33 | INFO | __main__:__init__:75 | === AI Gold Trading System Startup ===
2026-04-02 19:17:33 | INFO | src.data_collector:__init__:50 | Data collector initialized - symbol: XAUUSD
2026-04-02 19:17:33 | INFO | src.feature_engineer:__init__:29 | Feature engineer initialized
2026-04-02 19:17:33 | INFO | src.ai_models:__init__:52 | AI model manager initialized - model type: ensemble
2026-04-02 19:17:33 | INFO | src.risk_manager:__init__:45 | Risk manager initialized - max daily loss: $30
2026-04-02 19:17:33 | INFO | src.backtester:__init__:84 | Backtester initialized - initial capital: $10000
2026-04-02 19:17:33 | INFO | src.trader:__init__:81 | Trading engine initialized
2026-04-02 19:17:33 | INFO | __main__:__init__:103 | Trading system initialization complete
2026-04-02 19:17:39 | INFO | __main__:collect_and_prepare_data:177 | Starting local dataset import and preparation...
2026-04-02 19:20:04 | INFO | src.data_collector:load_csv_preview:59 | Loaded CSV preview: C:\Users\Bruh\Desktop\Data\XAUUSDm_M5_202501012305_202512312155.csv
2026-04-02 19:23:16 | INFO | src.broker_interface:disconnect_all:847 | 所有券商连接已断开
2026-04-02 19:25:53 | INFO | __main__:__init__:75 | === AI Gold Trading System Startup ===
2026-04-02 19:25:53 | INFO | src.data_collector:__init__:51 | Data collector initialized - symbol: XAUUSD
2026-04-02 19:25:53 | INFO | src.feature_engineer:__init__:29 | Feature engineer initialized
2026-04-02 19:25:53 | INFO | src.ai_models:__init__:52 | AI model manager initialized - model type: ensemble
2026-04-02 19:25:53 | INFO | src.risk_manager:__init__:45 | Risk manager initialized - max daily loss: $30
2026-04-02 19:25:53 | INFO | src.backtester:__init__:84 | Backtester initialized - initial capital: $10000
2026-04-02 19:25:53 | INFO | src.trader:__init__:81 | Trading engine initialized
2026-04-02 19:25:53 | INFO | __main__:__init__:103 | Trading system initialization complete
2026-04-02 19:25:55 | INFO | __main__:collect_and_prepare_data:177 | Starting local dataset import and preparation...
2026-04-02 19:26:01 | INFO | src.data_collector:load_csv_preview:62 | Loaded CSV preview: C:\Users\Bruh\Desktop\Data\XAUUSDm_M5_202501012305_202512312155.csv
2026-04-02 19:27:01 | INFO | src.broker_interface:disconnect_all:847 | 所有券商连接已断开
2026-04-02 19:29:54 | INFO | __main__:__init__:75 | === AI Gold Trading System Startup ===
2026-04-02 19:29:54 | INFO | src.data_collector:__init__:51 | Data collector initialized - symbol: XAUUSD
2026-04-02 19:29:54 | INFO | src.feature_engineer:__init__:29 | Feature engineer initialized
2026-04-02 19:29:54 | INFO | src.ai_models:__init__:52 | AI model manager initialized - model type: ensemble
2026-04-02 19:29:54 | INFO | src.risk_manager:__init__:45 | Risk manager initialized - max daily loss: $30
2026-04-02 19:29:54 | INFO | src.backtester:__init__:84 | Backtester initialized - initial capital: $10000
2026-04-02 19:29:54 | INFO | src.trader:__init__:81 | Trading engine initialized
2026-04-02 19:29:54 | INFO | __main__:__init__:103 | Trading system initialization complete
2026-04-02 19:29:56 | INFO | __main__:collect_and_prepare_data:186 | Starting local dataset import and preparation...
2026-04-02 19:30:00 | INFO | src.data_collector:load_csv_preview:62 | Loaded CSV preview: C:\Users\Bruh\Desktop\Data\XAUUSDm_M5_202501012305_202512312155.csv
2026-04-02 19:30:15 | INFO | src.broker_interface:disconnect_all:847 | 所有券商连接已断开
2026-04-02 19:31:03 | INFO | __main__:__init__:75 | === AI Gold Trading System Startup ===
2026-04-02 19:31:03 | INFO | src.data_collector:__init__:51 | Data collector initialized - symbol: XAUUSD
2026-04-02 19:31:03 | INFO | src.feature_engineer:__init__:29 | Feature engineer initialized
2026-04-02 19:31:03 | INFO | src.ai_models:__init__:52 | AI model manager initialized - model type: ensemble
2026-04-02 19:31:03 | INFO | src.risk_manager:__init__:45 | Risk manager initialized - max daily loss: $30
2026-04-02 19:31:03 | INFO | src.backtester:__init__:84 | Backtester initialized - initial capital: $10000
2026-04-02 19:31:03 | INFO | src.trader:__init__:81 | Trading engine initialized
2026-04-02 19:31:03 | INFO | __main__:__init__:103 | Trading system initialization complete
2026-04-02 19:31:04 | INFO | __main__:collect_and_prepare_data:186 | Starting local dataset import and preparation...
2026-04-02 19:31:11 | INFO | src.data_collector:load_csv_preview:62 | Loaded CSV preview: C:\Users\Bruh\Desktop\Data\XAUUSDm_M5_202501012305_202512312155.csv
2026-04-02 19:31:42 | INFO | src.data_collector:import_local_csv:81 | Imported local CSV dataset: C:\Users\Bruh\Desktop\Data\XAUUSDm_M5_202501012305_202512312155.csv (70406 rows)
2026-04-02 19:31:42 | INFO | src.data_collector:validate_data_quality:385 | 数据质量验证通过
2026-04-02 19:31:43 | INFO | src.data_collector:save_data_to_db:276 | 数据已保存到数据库表: raw_data
2026-04-02 19:31:43 | INFO | src.feature_engineer:create_feature_matrix:309 | 开始创建特征矩阵...
2026-04-02 19:31:43 | ERROR | src.feature_engineer:calculate_technical_indicators:137 | 计算技术指标失败: input array type is not double
2026-04-02 19:31:43 | INFO | src.feature_engineer:calculate_statistical_features:176 | 统计特征计算完成
2026-04-02 19:31:43 | INFO | src.feature_engineer:calculate_time_features:217 | 时间特征计算完成
