<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.03	03:30:00	2663.482	2663.653	2661.891	2662.288	1945	0	160
2025.01.03	04:00:00	2662.255	2664.409	2661.680	2663.977	1604	0	160
2025.01.03	04:30:00	2664.001	2664.205	2661.831	2662.839	1473	0	159
2025.01.03	05:00:00	2662.869	2662.915	2659.970	2660.607	1775	0	159
2025.01.03	05:30:00	2660.608	2660.608	2655.909	2658.550	2990	0	159
2025.01.03	06:00:00	2658.542	2660.156	2657.259	2657.419	2480	0	159
2025.01.03	06:30:00	2657.371	2660.247	2656.707	2659.610	2554	0	159
2025.01.03	07:00:00	2659.518	2659.550	2651.924	2652.802	3151	0	159
2025.01.03	07:30:00	2652.790	2656.083	2652.530	2654.164	3266	0	159
2025.01.03	08:00:00	2654.122	2655.773	2651.949	2652.611	3756	0	159
2025.01.03	08:30:00	2652.605	2653.647	2649.890	2652.951	3241	0	159
2025.01.03	09:00:00	2652.975	2656.006	2652.820	2653.972	3231	0	159
2025.01.03	09:30:00	2653.967	2655.867	2652.922	2653.590	2210	0	159
2025.01.03	10:00:00	2653.609	2657.501	2653.345	2656.218	2304	0	159
2025.01.03	10:30:00	2656.183	2657.976	2653.007	2657.617	2583	0	159
2025.01.03	11:00:00	2657.580	2659.258	2656.332	2656.885	2350	0	159
2025.01.03	11:30:00	2656.924	2658.656	2656.363	2658.361	1157	0	160
2025.01.03	12:30:00	2657.003	2657.461	2655.209	2655.291	954	0	160
2025.01.03	13:00:00	2655.257	2656.394	2647.960	2649.526	5291	0	159
2025.01.03	13:30:00	2649.614	2651.489	2643.387	2649.834	5853	0	159
2025.01.03	14:00:00	2649.789	2650.328	2645.075	2649.196	5455	0	159
2025.01.03	14:30:00	2649.213	2652.672	2646.146	2647.827	6626	0	159
2025.01.03	15:00:00	2647.730	2648.285	2640.952	2642.340	8552	0	159
2025.01.03	15:30:00	2642.364	2646.196	2641.960	2643.842	5204	0	159
2025.01.03	16:00:00	2643.812	2647.264	2640.624	2641.294	4442	0	159
2025.01.03	16:30:00	2641.329	2643.550	2638.954	2639.968	4035	0	159
2025.01.03	17:00:00	2639.934	2642.617	2639.414	2641.778	3265	0	160
2025.01.03	17:30:00	2641.829	2642.293	2639.043	2641.763	3286	0	159
2025.01.03	18:00:00	2641.726	2642.222	2639.763	2641.241	3122	0	159
2025.01.03	18:30:00	2641.243	2642.361	2640.911	2641.827	2816	0	159
2025.01.03	19:00:00	2641.831	2642.951	2640.570	2641.317	2201	0	159
2025.01.03	19:30:00	2641.295	2642.196	2639.135	2639.424	2091	0	160
2025.01.03	20:00:00	2639.394	2640.094	2638.413	2639.250	2177	0	159
